id	title	name	publication_date	body	new_title
470092	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	--who have health insurance they can barely make work because of the copays, the deductibles, the premiums, the out of pocket expenses. There's this mythology that somehow all these folks are in love with their insurance in America. What I hear from union members and from hard working middle class people is they wish they had better insurance. And they're angry at private insurance companies that skim all the profits off the top and make it impossible for everyday people to get coverage, like mental health care--	Democratic Presidential Debate - July 31 | CNN
470093	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	--dental care, the things that would be full coverage--	Democratic Presidential Debate - July 31 | CNN
470094	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	--for all Americans.	Democratic Presidential Debate - July 31 | CNN
470095	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	My response is Obamacare is working. The way to build this and get to it immediately is to build on Obamacare. Go back and do--take aw--take back all the things that Trump took away, provide a public option, meaning every single person in America would be able to buy into the option. If they didn't they like their employer plan or if they're on Medicaid, they'd automatically in the plan. It would be--take place immediately. It would move quickly and it would insure the vast, vast, vast majority of Americans.	Democratic Presidential Debate - July 31 | CNN
470096	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	In the mean time, what happens? Did anybody tell you how much their plans cost? My plans cost $750 billion. That's what it cost. Not $30 trillion.	Democratic Presidential Debate - July 31 | CNN
470097	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	In response to Senator Biden about the Affordable Care Act it is important that you understand that our Medicare for all plan has actually by the architect of the Obama Affordable Care Act been described as one of the most effective ways to bring health care to all, Kathleen Sebelius has endorsed our plan as being something that will get us to where we need to go.	Democratic Presidential Debate - July 31 | CNN
470098	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	In terms of the point that--that Senator Gillibrand is raising I couldn't agree more. Senator Biden, your plan will keep and allow insurance companies to remain with the status quo doing business as usual and that is going to be about jacking up co-pays, jacking up deductibles - Max	Democratic Presidential Debate - July 31 | CNN
470099	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	It will still be the situation--	Democratic Presidential Debate - July 31 | CNN
470100	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--that people going to an emergency room have to come out $5000.	Democratic Presidential Debate - July 31 | CNN
470101	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	My plan makes the limit of co-pay to be $1000 because we further support the--the--the ability to buy into the Obama care plan. Secondly, the idea that this is somehow a bad idea, no one has to keep their private insurance, but if they like their insurance, they should be able to keep it. Nothing is demanding in my plan that there be private insurance. It says if the 160 million people who have it say they like their employer insurance they should have a right to have it. If they don't they can buy into the Biden plan which is Obama care--	Democratic Presidential Debate - July 31 | CNN
470102	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-07-31	Well, first of all, let me just say that the person that's enjoying this debate the most right now is Donald Trump as we pit Democrats against each other while he is working right now--	Democratic Presidential Debate - July 31 | CNN
470103	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-07-31	--to take away America's healthcare. There is a court case working through the system that is going to get the Affordable Care Act and actually got protections on pre-existing conditions. And so I was raised by two civil rights parents who told me always keep your eyes on the prize and that is that in the United States of America every Democrat should stand with the belief that everyone should have access to health care, that it is a human right and how we get there it has to be to end this broken system because we are on our way in just a handful of years of literally spending 20 percent of our economy, one out of every five dollars spent on healthcare and we spend more than every other nation on everything from MRIs to insulin drugs, multiple more than other country--multiple more than other countries.	Democratic Presidential Debate - July 31 | CNN
470104	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-07-31	And so you want to know what I'm going to do, I'm going to work to get as to a point where Medicare for all where everyone is covered but this pitting against progressives and against moderates saying one is unrealistic and the other doesn't care enough that to me is dividing our party and demoralizing us in face of the real enemy here.	Democratic Presidential Debate - July 31 | CNN
470105	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-07-31	And I am going to keep fighting for that end.	Democratic Presidential Debate - July 31 | CNN
470106	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-07-31	The reality is right now; we don't have a health care system. We have a sick care system, and there are far too many people in this country who are sick and unable to get the care that they need because they cannot afford it. So the core of this problem is the fact that big insurance companies and big pharmaceutical companies who have been profiting off the backs of sick people have a seat at the table writing this legislation.	Democratic Presidential Debate - July 31 | CNN
470107	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Tulsi Gabbard	2019-07-31	Now Kamala Harris just talked about Kathleen Sebelius who helped write her bill. This just pointed to the fatal flaw in her proposal. Kathleen Sebelius works for Medicare advantage, private insurance company who will stand to profit under her plan. If we are seeking to really reform our healthcare system, we've got to shut out big insurance and big Pharma out of the drafting process so they cannot continue to profit off of the backs of the sick people in this country who are searching and in desperate need of care.	Democratic Presidential Debate - July 31 | CNN
470108	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Well, unfortunately, representative Gabbard got it wrong. Kathleen (INAUDIBLE) did not write my plan, she endorsed it as being one of the plans that is the best to get us to a place where everyone is going to have access to health care in America and when we talk about this again I--I am going to go back to Vice President Biden because your plan does not cover everyone in America by your staffs and your own definition 10 million people, as many as 10 million people will not have access to health care and in 2019 in America for a Democrat to be running for president with a plan that does not cover everyone I think is without excuse. Our plan covers everyone--	Democratic Presidential Debate - July 31 | CNN
470109	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--and gives people choice.	Democratic Presidential Debate - July 31 | CNN
