id	title	name	publication_date	body	new_title
737318	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	And we should stop using republican talking points in order to talk with each other about how to best provide that healthcare.	Democratic Presidential Debate - July 30 | CNN
737319	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	Now, I want to have a chance to tell the story about my friend, Eddie Barkin (PH). Eddie is 35 years old. He has a wife, Rachel (PH). He has a cute little boy named Carl. He also has ALS and it's killing him. Eddie has health insurance. Good health insurance.	Democratic Presidential Debate - July 30 | CNN
737320	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	And it's not--	Democratic Presidential Debate - July 30 | CNN
737321	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--Nearly enough.	Democratic Presidential Debate - July 30 | CNN
737322	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--No, this is important.	Democratic Presidential Debate - July 30 | CNN
737323	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	All right.	Democratic Presidential Debate - July 30 | CNN
737324	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--So--	Democratic Presidential Debate - July 30 | CNN
737325	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--Giant corporations and billionaires are going to pay more. Middle class families are going to pay less out of pocket for their healthcare. And I'd like to finish talking about Eddie, the guy who has ALS.	Democratic Presidential Debate - July 30 | CNN
737326	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	This isn't funny. This is somebody who has health insurance and is dying. And every month, he has about $9,000 in medical gill--bills that his insurance company won't cover. His wife, Rachel, is on the phone for hours and hours and hours begging the insurance company, please cover what the doctors say he needs. He talks about what it's like to go online with thousands of other people to beg friends, family, and strangers for money so he can cover his medical expenses. The basic profit model of an insurance company is taking as much as money as you can in premiums and pay out as little as possible in healthcare coverage. That is not working for--	Democratic Presidential Debate - July 30 | CNN
737327	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--Americans across this country.	Democratic Presidential Debate - July 30 | CNN
737328	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	Medicare for All will fix that and that's why I'll--	Democratic Presidential Debate - July 30 | CNN
737329	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--Fight for it.	Democratic Presidential Debate - July 30 | CNN
737330	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	Costs will go up for billionaires and go up for corporations. For middle class families, costs--total costs will go down.	Democratic Presidential Debate - July 30 | CNN
737331	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	Let me--	Democratic Presidential Debate - July 30 | CNN
