id	title	name	publication_date	body	new_title
753336	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	--And employment because people that do not have good health care do not succeed at work. It's even a retirement issue because, in my community, African-Americans have a lower life expectancy because of the poorer health care.	Democratic Presidential Debate - June 26 (Full) | NBC News
753337	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	And so, where I stand is very clear. Healthcare is not just a human right, it should be an American right. And I believe the best way to get there is Medicare for All. But I have an urgency about this. When I am president of the United States, I'm not going to wait. We have to do the things immediately that are going to provide better care.	Democratic Presidential Debate - June 26 (Full) | NBC News
753338	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	And on this debate, I'm sorry. There are too many people profiteering off of the pain of people in America from the--from pharmaceutical companies to insurers. Literally, the overhead for insurers that they charge is 15 percent, while Medicare's overhead is only at 2 percent. We can do this better, and every single day I will be fighting to give people more access and more affordable cost until we get to my goal--	Democratic Presidential Debate - June 26 (Full) | NBC News
753339	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	--Which is every American having healthcare.	Democratic Presidential Debate - June 26 (Full) | NBC News
753340	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	--Can I just add to Senator--	Democratic Presidential Debate - June 26 (Full) | NBC News
753341	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	--I just want to add to--	Democratic Presidential Debate - June 26 (Full) | NBC News
753342	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	--Senator Booker's--	Democratic Presidential Debate - June 26 (Full) | NBC News
753343	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	--Point though. And that is that the insurance companies last year alone sucked $23 billion in profits out of the healthcare system, $23 billion, and that doesn't count the money that was paid to executives, the money that was spent lobbying Washington. We have a giant industry that wants our healthcare system to stay the way it is, because it's not working for families but it's sure as heck working for them.	Democratic Presidential Debate - June 26 (Full) | NBC News
753344	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	--It's time for us--	Democratic Presidential Debate - June 26 (Full) | NBC News
753345	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	--To make families come first.	Democratic Presidential Debate - June 26 (Full) | NBC News
753346	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	--I think--I think we're--	Democratic Presidential Debate - June 26 (Full) | NBC News
753347	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	I just want to say there's three women appear that have fought pretty hard for a woman's right to choose, so I'll start with that.	Democratic Presidential Debate - June 26 (Full) | NBC News
753348	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Amy Klobuchar	2019-06-26	And then I just want to make very clear, I think we share the goal of universal healthcare. And the idea I put out there, the public option, which the governor was just talking about, this idea is that you use Medicare or Medicaid without any insurance companies involved. You could do it either way. At its--the estimates are 13 million people would see a reduction in their premiums, 12 more million people would get covered. So, I think it is a beginning and the way you start and the way you moved to universal healthcare.	Democratic Presidential Debate - June 26 (Full) | NBC News
753349	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	Yes, it would. I don't believe only in reproductive freedom. I believe in reproductive justice.	Democratic Presidential Debate - June 26 (Full) | NBC News
753350	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	And, you know what that means is just because a woman or let's also not forget someone in the trans community--a trans female--	Democratic Presidential Debate - June 26 (Full) | NBC News
753351	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	--is poor doesn't mean they shouldn't have the right to exercise that right to choose. So, I absolutely would cover the right to have an abortion. More than that everybody in this crowd and watching at home knows that in our country today a person's right to choose is under assault in places like Missouri and Alabama, in Georgia. I would appoint judges to the federal bench that understand the precedent of Roe v Wade and will respect.	Democratic Presidential Debate - June 26 (Full) | NBC News
753352	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	And in addition to that make sure that we fight hard as we transition our healthcare system to one where everybody can get and exercise that right.	Democratic Presidential Debate - June 26 (Full) | NBC News
753353	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	I would make certain that every woman has access to the full range of reproductive healthcare services and that includes birth control, it includes abortion, it includes everything for a woman.	Democratic Presidential Debate - June 26 (Full) | NBC News
753354	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	And, I want to add on that--it's not enough for us to expect the courts to protect us. 47 years ago Roe versus Wade was decided and we've all looked to the courts all that time. As state after state has undermined Roe, has put in exceptions has come right up to the age of taking away protection.	Democratic Presidential Debate - June 26 (Full) | NBC News
753355	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Elizabeth Warren	2019-06-26	We now have an America where most people support Roe versus Wade. We need to make that federal law.	Democratic Presidential Debate - June 26 (Full) | NBC News
753356	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	They should absolutely be held criminally liable because they are liable and responsible. This is one of the reasons why (INAUDIBLE) I was running for president I said I would not take contributions from former companies, not take contributions--	Democratic Presidential Debate - June 26 (Full) | NBC News
